Date, Search Count, Research Topic Click
2013-12-01, 1501, 8
2013-12-02, 2836, 18
2013-12-03, 2913, 29
2013-12-04, 3509, 20
2013-12-05, 3173, 3
2013-12-06, 2308, 32
2013-12-07, 1044, 5
2013-12-08, 1443, 6
2013-12-09, 2901, 6
2013-12-10, 2470, 10
2013-12-11, 2730, 7
2013-12-12, 2872, 6
2013-12-13, 1937, 13
2013-12-14, 711, 3
2013-12-15, 1296, 1
2013-12-16, 2373, 29
2013-12-17, 2104, 2
2013-12-18, 1812, 0
2013-12-19, 1853, 3
2013-12-20, 916, 2
2013-12-21, 369, 3
2013-12-22, 349, 3
2013-12-23, 334, 7
2013-12-24, 250, 0
2013-12-25, 222, 2
2013-12-26, 273, 1
2013-12-27, 488, 0
2013-12-28, 373, 0
2013-12-29, 337, 1
2013-12-30, 354, 2
2013-12-31, 281, 0
2014-01-01, 411, 1
2014-01-02, 961, 19
2014-01-03, 673, 3
2014-01-04, 444, 0
2014-01-05, 506, 6
2014-01-06, 1147, 5
2014-01-07, 1819, 16
2014-01-08, 1899, 9
2014-01-09, 2343, 5
2014-01-10, 1951, 11
2014-01-11, 670, 1
2014-01-12, 1104, 0
2014-01-13, 2494, 70
2014-01-14, 2918, 30
2014-01-15, 2646, 9
2014-01-16, 2914, 12
2014-01-17, 2301, 23
2014-01-18, 583, 2
2014-01-19, 729, 4
2014-01-20, 1159, 4
2014-01-21, 2067, 10
2014-01-22, 2067, 9
2014-01-23, 2302, 28
2014-01-24, 1723, 9
2014-01-25, 749, 5
2014-01-26, 1198, 2
2014-01-27, 1917, 13
2014-01-28, 2326, 12
