session_id,date,search,retrieval,retrieval_from_search,preview,preview_from_search,rs_ratio,add_to_my_list,email,print,export_easylib,
6E31FB2B88836E924D9E3D0F535C40ED,2014-11-01,0,0,0,0,0,-1,0,0,2,0,
5FEAA61CC99BE3D8AA56211DDD3A6946,2014-11-01,1,2,2,1,1,3.0,0,0,1,0,
A49AA5E644988524421ECCC26C377F55,2014-11-01,0,0,0,0,0,-1,0,0,3,0,
EB20B967815A8B3057E3D5A08E6CD4A1,2014-11-01,3,5,5,0,0,1.66666666667,0,0,1,0,
0FB1696518518D01E9DFB14B23E21A3C,2014-11-01,0,0,0,0,0,-1,0,0,1,0,
DAF6B54CDACE028FD94741EF5018DBFD,2014-11-01,2,7,7,3,3,5.0,0,0,1,0,
9F130F423B102B3BF378624E090D69E8,2014-11-01,4,17,17,2,2,4.75,0,0,6,0,
3D80B37AC778867AA5EFEDAFCEFA714D,2014-11-01,7,10,10,0,0,1.42857142857,16,0,0,0,
EDF6DF13FCBE2692E6A9BB273460577D,2014-11-01,3,3,3,0,0,1.0,0,0,2,0,
2E1EDB6CA78BD94AF7F651502FDEBEF0,2014-11-01,3,1,1,0,0,0.333333333333,0,0,1,0,
0E082E1DBB91DF596B7BAECF30676F1B,2014-11-01,2,6,6,0,0,3.0,0,0,2,0,
DF4A52EDE7580532BC66DBA02BBDA53A,2014-11-01,1,0,0,0,0,0.0,1,0,0,0,
7F46DC6CCA9E176CEABACFE2F4B3465C,2014-11-01,1,3,3,0,0,3.0,0,0,0,1,
686C423ACEDBA8771E88EF8CCFA54952,2014-11-01,4,10,10,3,3,3.25,1,0,0,0,
AB68E9E24F71DF14898F641CD035A920,2014-11-01,0,4,4,0,0,-1,1,0,0,0,
147CE08DF86D0ABBBA8359AADDBACBF5,2014-11-01,6,3,3,1,1,0.666666666667,2,0,0,0,
D076EC7D1D225E7018A56F8A57A6C266,2014-11-01,3,2,2,0,0,0.666666666667,0,0,1,0,
FA797197562116B51F1065E352D19DAC,2014-11-01,3,5,5,0,0,1.66666666667,2,0,0,0,
C17B39F515DD48E2BB8B34088EBA373F,2014-11-01,41,71,71,47,47,2.87804878049,0,0,6,0,
207BE58757A03DE69E1E329866ACE751,2014-11-01,5,2,2,1,1,0.6,0,0,0,1,
6E09D5C4DB84262FFF322BCFC1B5A9FC,2014-11-01,1,3,3,0,0,3.0,0,1,0,0,
452C3B82901CE3C6220699CD7BAE474B,2014-11-01,2,35,35,0,0,17.5,0,10,0,0,
1D2179928EEE4D0F91ADADEFF9328AE7,2014-11-01,1,11,11,0,0,11.0,0,0,10,0,
5973969E5777E9DB6EF69620CE71CB65,2014-11-01,1,2,2,0,0,2.0,0,2,0,0,
FD487C2D0381F268D6D6A7C94E23C04F,2014-11-01,7,2,2,0,0,0.285714285714,1,0,0,0,
28C9C163F5138BE7BD36319A04604CBE,2014-11-01,9,13,13,1,1,1.55555555556,10,0,0,0,
1338D8578193CBA44D6EC1DBB00EA56B,2014-11-01,6,6,6,3,3,1.5,0,0,3,0,
D9779B5831C01F0D51DF23696DD454C1,2014-11-01,1,1,1,0,0,1.0,0,0,1,0,
BDDAA1C548911B7E9ED30452338B9087,2014-11-01,10,17,17,4,4,2.1,11,0,1,0,
D09115369424A1866F43DC550BDF2334,2014-11-01,1,7,7,3,3,10.0,0,1,1,0,
6ED1EF99103329DA964103B929B0FDBB,2014-11-01,10,2,2,0,0,0.2,1,0,0,0,
A86C6C40293896931A5D8D97C2E72C47,2014-11-01,1,1,1,0,0,1.0,0,1,0,0,
C4F496C501CDFD908FA24D2C32C56126,2014-11-01,0,2,2,0,0,-1,0,0,2,0,
2F552E32EBAED5F4A005B0A0536A0A02,2014-11-01,1,1,1,0,0,1.0,0,0,3,0,
1A3D01217E32212F2923B9053542BAFA,2014-11-01,7,12,12,4,4,2.28571428571,0,1,1,0,
