Date, Expand Time
13-12-21, 4
13-12-22, 2
13-12-23, 3
13-12-24, 0
13-12-25, 1
13-12-26, 0
13-12-27, 6
13-12-28, 2
13-12-29, 8
13-12-30, 11
13-12-31, 4
14-01-01, 37
14-01-02, 48
14-01-03, 25
14-01-04, 22
14-01-05, 37
14-01-06, 60
14-01-07, 162
14-01-08, 138
14-01-09, 154
14-01-10, 186
14-01-11, 30
14-01-12, 76
14-01-13, 225
14-01-14, 261
14-01-15, 251
14-01-16, 255
14-01-17, 271
14-01-18, 20
14-01-19, 33
14-01-20, 101
14-01-21, 198
14-01-22, 168
14-01-23, 172
14-01-24, 174
14-01-25, 30
14-01-26, 49
14-01-27, 153
14-01-28, 212
14-01-29, 212
14-01-30, 293
14-01-31, 220
14-02-01, 17
14-02-02, 36
14-02-03, 250
14-02-04, 416
14-02-05, 256
14-02-06, 383
14-02-07, 291
14-02-08, 37
14-02-09, 68
14-02-10, 366
