Date, Search Count, Research Topic Click
13-09-23, 0, 51
13-09-24, 0, 60
13-09-25, 0, 36
13-09-26, 0, 85
13-09-27, 0, 32
13-09-28, 0, 17
13-09-29, 0, 10
13-09-30, 0, 39
13-10-01, 0, 76
13-10-02, 0, 34
13-10-03, 0, 92
13-10-04, 0, 71
13-10-05, 0, 14
13-10-06, 0, 31
13-10-07, 0, 51
13-10-08, 0, 103
13-10-09, 0, 67
13-10-10, 0, 79
13-10-11, 0, 75
13-10-12, 0, 9
13-10-13, 0, 41
13-10-14, 0, 76
13-10-15, 0, 103
13-10-16, 0, 60
13-10-17, 0, 76
13-10-18, 0, 16
13-10-19, 0, 29
13-10-20, 0, 18
13-10-21, 0, 60
13-10-22, 0, 91
13-10-23, 0, 43
13-10-24, 0, 96
13-10-25, 0, 32
13-10-26, 0, 9
13-10-27, 0, 24
13-10-28, 0, 30
13-10-29, 0, 103
13-10-30, 0, 89
13-10-31, 0, 41
13-11-01, 0, 52
13-11-02, 0, 21
13-11-03, 0, 12
13-11-04, 0, 40
13-11-05, 0, 93
13-11-06, 0, 65
13-11-07, 0, 98
13-11-08, 0, 76
13-11-09, 0, 16
13-11-10, 0, 12
13-11-11, 0, 48
13-11-12, 0, 72
13-11-13, 0, 59
13-11-14, 0, 187
13-11-15, 0, 68
13-11-16, 0, 16
13-11-17, 0, 16
13-11-18, 0, 77
13-11-19, 0, 91
13-11-20, 0, 88
13-11-21, 0, 25
13-11-22, 0, 12
13-11-23, 0, 7
13-11-24, 0, 10
13-11-25, 0, 53
13-11-26, 0, 63
13-11-27, 0, 8
13-11-28, 0, 7
13-11-29, 0, 4
13-11-30, 0, 10
13-12-01, 0, 10
13-12-02, 0, 36
13-12-03, 0, 67
13-12-04, 0, 92
13-12-05, 0, 26
13-12-06, 0, 64
13-12-07, 0, 11
13-12-08, 0, 16
13-12-09, 0, 23
13-12-10, 0, 35
13-12-11, 0, 21
13-12-12, 0, 40
13-12-13, 0, 43
13-12-14, 0, 12
13-12-15, 0, 9
13-12-16, 0, 89
13-12-17, 0, 26
13-12-18, 0, 15
13-12-19, 0, 10
13-12-20, 0, 2
13-12-21, 0, 6
13-12-22, 0, 6
13-12-23, 0, 12
13-12-24, 0, 5
13-12-25, 0, 5
13-12-26, 0, 3
13-12-27, 0, 15
13-12-28, 0, 4
13-12-29, 0, 6
13-12-30, 0, 8
13-12-31, 0, 3
