Date, Expand_Button_Click(E), Research_Topic_Show(R), Search_Count(S), R/S, E/R
13-04-29, 274, 1758, 13998, 0.126, 0.156
13-04-30, 240, 1539, 12665, 0.122, 0.156
13-05-01, 202, 1549, 12607, 0.123, 0.130
13-05-02, 272, 1562, 11962, 0.131, 0.174
13-05-03, 203, 1181, 9738, 0.121, 0.172
13-05-04, 22, 218, 5565, 0.039, 0.101
13-05-05, 78, 579, 7765, 0.075, 0.135
13-05-06, 233, 1486, 12182, 0.122, 0.157
13-05-07, 250, 1518, 12254, 0.124, 0.165
13-05-08, 274, 1528, 13947, 0.110, 0.179
13-05-09, 238, 1541, 12303, 0.125, 0.154
13-05-10, 198, 1088, 9233, 0.118, 0.182
13-05-11, 26, 223, 5566, 0.040, 0.117
13-05-12, 78, 430, 6564, 0.066, 0.181
13-05-13, 196, 1322, 11084, 0.119, 0.148
13-05-14, 184, 1470, 11282, 0.130, 0.125
13-05-15, 249, 1385, 10915, 0.127, 0.180
13-05-16, 189, 1351, 11125, 0.121, 0.140
13-05-17, 149, 1035, 8941, 0.116, 0.144
13-05-18, 24, 238, 5561, 0.043, 0.101
13-05-19, 68, 488, 7131, 0.068, 0.139
13-05-20, 236, 1285, 11507, 0.112, 0.184
13-05-21, 223, 1286, 11664, 0.110, 0.173
13-05-22, 162, 1069, 10400, 0.103, 0.152
13-05-23, 191, 1060, 9989, 0.106, 0.180
13-05-24, 98, 554, 7111, 0.078, 0.177
13-05-25, 21, 186, 4951, 0.038, 0.113
13-05-26, 18, 208, 5539, 0.038, 0.087
13-05-27, 97, 471, 6974, 0.068, 0.206
13-05-28, 140, 919, 10196, 0.090, 0.152
13-05-29, 128, 835, 9038, 0.092, 0.153
13-05-30, 140, 890, 8748, 0.102, 0.157
13-05-31, 105, 540, 6880, 0.078, 0.194
13-06-01, 47, 168, 5362, 0.031, 0.280
13-06-02, 56, 332, 6670, 0.050, 0.169
13-06-03, 109, 752, 8251, 0.091, 0.145
13-06-04, 117, 639, 8001, 0.080, 0.183
13-06-05, 84, 570, 7911, 0.072, 0.147
13-06-06, 79, 538, 6899, 0.078, 0.147
13-06-07, 42, 303, 5657, 0.054, 0.139
13-06-08, 12, 148, 4925, 0.030, 0.081
13-06-09, 30, 178, 5193, 0.034, 0.169
13-06-10, 60, 367, 6553, 0.056, 0.163
13-06-11, 41, 298, 6467, 0.046, 0.138
13-06-12, 68, 370, 6311, 0.059, 0.184
13-06-13, 68, 350, 5880, 0.060, 0.194
13-06-14, 20, 125, 4935, 0.025, 0.160
13-06-15, 10, 91, 4643, 0.020, 0.110
13-06-16, 18, 129, 4995, 0.026, 0.140
13-06-17, 26, 151, 5324, 0.028, 0.172
13-06-18, 27, 234, 5516, 0.042, 0.115
13-06-19, 25, 212, 5529, 0.038, 0.118
13-06-20, 31, 221, 5302, 0.042, 0.140
13-06-21, 13, 126, 4626, 0.027, 0.103
13-06-22, 3, 83, 4504, 0.018, 0.036
13-06-23, 9, 105, 4693, 0.022, 0.086
13-06-24, 38, 151, 5446, 0.028, 0.252
13-06-25, 13, 172, 5848, 0.029, 0.076
13-06-26, 39, 240, 5381, 0.045, 0.163
13-06-27, 60, 182, 5199, 0.035, 0.330
13-06-28, 6, 81, 4411, 0.018, 0.074
13-06-29, 5, 38, 4179, 0.009, 0.132
13-06-30, 2, 63, 4215, 0.015, 0.032
13-07-01, 18, 98, 4793, 0.020, 0.184
13-07-02, 8, 84, 4811, 0.017, 0.095
13-07-03, 33, 223, 5210, 0.043, 0.148
13-07-04, 2, 42, 3840, 0.011, 0.048
13-07-05, 4, 41, 4273, 0.010, 0.098
13-07-06, 1, 51, 4231, 0.012, 0.020
13-07-07, 5, 65, 4220, 0.015, 0.077
13-07-08, 39, 164, 5215, 0.031, 0.238
13-07-09, 12, 149, 5498, 0.027, 0.081
13-07-10, 38, 168, 5033, 0.033, 0.226
13-07-11, 27, 233, 5108, 0.046, 0.116
13-07-12, 134, 141, 4555, 0.031, 0.950
13-07-13, 4, 60, 4405, 0.014, 0.067
13-07-14, 10, 131, 4743, 0.028, 0.076
13-07-15, 24, 212, 5463, 0.039, 0.113
13-07-16, 29, 143, 5389, 0.027, 0.203
13-07-17, 17, 212, 5498, 0.039, 0.080
13-07-18, 11, 153, 5027, 0.030, 0.072
13-07-19, 12, 117, 4736, 0.025, 0.103
13-07-20, 8, 101, 4676, 0.022, 0.079
13-07-21, 8, 143, 5105, 0.028, 0.056
13-07-22, 25, 171, 5525, 0.031, 0.146
13-07-23, 53, 213, 5839, 0.036, 0.249
13-07-24, 25, 189, 5564, 0.034, 0.132
13-07-25, 38, 212, 5221, 0.041, 0.179
13-07-26, 3, 94, 4474, 0.021, 0.032
13-07-27, 13, 99, 4947, 0.020, 0.131
13-07-28, 33, 165, 5172, 0.032, 0.200
13-07-29, 42, 195, 5562, 0.035, 0.215
13-07-30, 12, 182, 5909, 0.031, 0.066
13-07-31, 11, 192, 5415, 0.035, 0.057
13-08-01, 23, 179, 5208, 0.034, 0.128
13-08-02, 20, 97, 4554, 0.021, 0.206
13-08-03, 15, 93, 4523, 0.021, 0.161
13-08-04, 26, 132, 4891, 0.027, 0.197
13-08-05, 65, 233, 5170, 0.045, 0.279
13-08-06, 37, 194, 5440, 0.036, 0.191
13-08-07, 72, 208, 5268, 0.039, 0.346
13-08-08, 59, 259, 5065, 0.051, 0.228
13-08-09, 71, 162, 4881, 0.033, 0.438
13-08-10, 4, 81, 4245, 0.019, 0.049
13-08-11, 17, 91, 4649, 0.020, 0.187
13-08-12, 51, 191, 5356, 0.036, 0.267
13-08-13, 42, 166, 5642, 0.029, 0.253
13-08-14, 34, 221, 5484, 0.040, 0.154
13-08-15, 9, 128, 4804, 0.027, 0.070
13-08-16, 5, 124, 4414, 0.028, 0.040
13-08-17, 5, 78, 4336, 0.018, 0.064
13-08-18, 9, 109, 4607, 0.024, 0.083
13-08-19, 24, 197, 5275, 0.037, 0.122
13-08-20, 48, 190, 5286, 0.036, 0.253
13-08-21, 32, 263, 5526, 0.048, 0.122
13-08-22, 171, 442, 5495, 0.080, 0.387
13-08-23, 34, 221, 5136, 0.043, 0.154
13-08-24, 29, 184, 6574, 0.028, 0.158
13-08-25, 48, 247, 5165, 0.048, 0.194
13-08-26, 63, 339, 6103, 0.056, 0.186
13-08-27, 91, 396, 6150, 0.064, 0.230
13-08-28, 112, 448, 6524, 0.069, 0.250
13-08-29, 71, 505, 6842, 0.074, 0.141
13-08-30, 163, 474, 5851, 0.081, 0.344
13-08-31, 5, 96, 4656, 0.021, 0.052
13-09-01, 29, 136, 5246, 0.026, 0.213
13-09-02, 20, 164, 5328, 0.031, 0.122
13-09-03, 106, 592, 7317, 0.081, 0.179
13-09-04, 116, 809, 8195, 0.099, 0.143
13-09-05, 177, 898, 7549, 0.119, 0.197
13-09-06, 118, 585, 6796, 0.086, 0.202
13-09-07, 16, 143, 4928, 0.029, 0.112
13-09-08, 23, 204, 5724, 0.036, 0.113
13-09-09, 123, 820, 8157, 0.101, 0.150
13-09-10, 239, 1085, 8825, 0.123, 0.220
13-09-11, 107, 958, 8529, 0.112, 0.112
13-09-12, 205, 1281, 9430, 0.136, 0.160
13-09-13, 158, 1007, 7857, 0.128, 0.157
13-09-14, 40, 160, 4828, 0.033, 0.250
13-09-15, 33, 297, 6023, 0.049, 0.111
13-09-16, 150, 1145, 10097, 0.113, 0.131
13-09-17, 331, 1394, 11973, 0.116, 0.237
13-09-18, 157, 980, 9618, 0.102, 0.160
13-09-19, 242, 1196, 10142, 0.118, 0.202
13-09-20, 119, 947, 8543, 0.111, 0.126
13-09-21, 19, 139, 4932, 0.028, 0.137
13-09-22, 36, 325, 6143, 0.053, 0.111
13-09-23, 202, 1107, 10227, 0.108, 0.182
13-09-24, 291, 1673, 12441, 0.134, 0.174
13-09-25, 149, 1341, 11302, 0.119, 0.111
13-09-26, 221, 1246, 10537, 0.118, 0.177
13-09-27, 175, 887, 8050, 0.110, 0.197
13-09-28, 22, 181, 5021, 0.036, 0.122
13-09-29, 47, 309, 6243, 0.049, 0.152
13-09-30, 161, 1109, 10344, 0.107, 0.145
13-10-01, 311, 1725, 12112, 0.142, 0.180
13-10-02, 256, 1305, 10954, 0.119, 0.196
13-10-03, 158, 1701, 10808, 0.157, 0.093
13-10-04, 140, 972, 8630, 0.113, 0.144
13-10-05, 32, 169, 4897, 0.035, 0.189
13-10-06, 69, 442, 6978, 0.063, 0.156
13-10-07, 244, 1493, 10843, 0.138, 0.163
13-10-08, 234, 1516, 12118, 0.125, 0.154
13-10-09, 231, 1455, 12921, 0.113, 0.159
13-10-10, 269, 1675, 12661, 0.132, 0.161
13-10-11, 165, 1066, 9238, 0.115, 0.155
13-10-12, 15, 135, 4716, 0.029, 0.111
13-10-13, 33, 311, 5946, 0.052, 0.106
13-10-14, 173, 1242, 10468, 0.119, 0.139
13-10-15, 281, 1521, 12391, 0.123, 0.185
13-10-16, 258, 1454, 13866, 0.105, 0.177
13-10-17, 269, 1641, 12445, 0.132, 0.164
13-10-18, 174, 1123, 9972, 0.113, 0.155
13-10-19, 17, 236, 5356, 0.044, 0.072
13-10-20, 97, 516, 7358, 0.070, 0.188
13-10-21, 248, 1566, 12353, 0.127, 0.158
13-10-22, 251, 1643, 13483, 0.122, 0.153
13-10-23, 282, 1724, 13983, 0.123, 0.164
13-10-24, 258, 1757, 13224, 0.133, 0.147
13-10-25, 172, 1194, 10306, 0.116, 0.144
13-10-26, 18, 223, 5313, 0.042, 0.081
13-10-27, 65, 443, 7184, 0.062, 0.147
13-10-28, 267, 1767, 12817, 0.138, 0.151
13-10-29, 263, 1703, 13516, 0.126, 0.154
13-10-30, 266, 1730, 14720, 0.118, 0.154
13-10-31, 246, 1509, 11953, 0.126, 0.163
13-11-01, 160, 960, 9386, 0.102, 0.167
13-11-02, 32, 276, 5779, 0.048, 0.116
13-11-03, 63, 460, 7442, 0.062, 0.137
13-11-04, 308, 1682, 14045, 0.120, 0.183
13-11-05, 347, 1903, 14220, 0.134, 0.182
13-11-06, 336, 1842, 14308, 0.129, 0.182
13-11-07, 242, 1650, 13143, 0.126, 0.147
13-11-08, 142, 1254, 10657, 0.118, 0.113
13-11-09, 18, 224, 5443, 0.041, 0.080
13-11-10, 62, 477, 6895, 0.069, 0.130
13-11-11, 177, 1060, 9565, 0.111, 0.167
13-11-12, 224, 1778, 14084, 0.126, 0.126
13-11-13, 297, 1810, 14815, 0.122, 0.164
13-11-14, 306, 1911, 14560, 0.131, 0.160
13-11-15, 266, 1471, 11489, 0.128, 0.181
13-11-16, 27, 212, 5683, 0.037, 0.127
13-11-17, 49, 510, 7351, 0.069, 0.096
13-11-18, 286, 1744, 14320, 0.122, 0.164
13-11-19, 304, 2095, 14997, 0.140, 0.145
13-11-20, 247, 1841, 14053, 0.131, 0.134
13-11-21, 209, 1547, 12907, 0.120, 0.135
13-11-22, 134, 1197, 10495, 0.114, 0.112
13-11-23, 34, 217, 5403, 0.040, 0.157
13-11-24, 47, 428, 6996, 0.061, 0.110
13-11-25, 275, 1599, 12407, 0.129, 0.172
13-11-26, 332, 1623, 11500, 0.141, 0.205
13-11-27, 61, 518, 7137, 0.073, 0.118
13-11-28, 12, 116, 4077, 0.028, 0.103
13-11-29, 15, 202, 4737, 0.043, 0.074
13-11-30, 28, 227, 5325, 0.043, 0.123
13-12-01, 72, 514, 6981, 0.074, 0.140
13-12-02, 170, 1438, 11475, 0.125, 0.118
13-12-03, 271, 1645, 12753, 0.129, 0.165
13-12-04, 279, 1596, 12974, 0.123, 0.175
13-12-05, 231, 1607, 12957, 0.124, 0.144
13-12-06, 222, 1171, 10421, 0.112, 0.190
13-12-07, 18, 183, 5337, 0.034, 0.098
13-12-08, 80, 464, 7295, 0.064, 0.172
13-12-09, 243, 1295, 11324, 0.114, 0.188
13-12-10, 169, 1160, 10722, 0.108, 0.146
13-12-11, 227, 1362, 11573, 0.118, 0.167
13-12-12, 186, 1461, 11648, 0.125, 0.127
13-12-13, 215, 1043, 9010, 0.116, 0.206
13-12-14, 25, 172, 4928, 0.035, 0.145
13-12-15, 44, 400, 6482, 0.062, 0.110
13-12-16, 226, 1285, 10505, 0.122, 0.176
13-12-17, 170, 1179, 9752, 0.121, 0.144
13-12-18, 132, 893, 8796, 0.102, 0.148
13-12-19, 145, 932, 8586, 0.109, 0.156
13-12-20, 67, 435, 5542, 0.078, 0.154
13-12-21, 4, 58, 3793, 0.015, 0.069
13-12-22, 2, 41, 3693, 0.011, 0.049
13-12-23, 3, 59, 3596, 0.016, 0.051
13-12-24, 0, 16, 3329, 0.005, 0.000
13-12-25, 1, 23, 3320, 0.007, 0.043
13-12-26, 0, 24, 3545, 0.007, 0.000
13-12-27, 6, 64, 3590, 0.018, 0.094
13-12-28, 2, 51, 3729, 0.014, 0.039
13-12-29, 8, 71, 3693, 0.019, 0.113
13-12-30, 11, 93, 3715, 0.025, 0.118
13-12-31, 4, 62, 3643, 0.017, 0.065
14-01-01, 37, 180, 3997, 0.045, 0.206
14-01-02, 48, 299, 5175, 0.058, 0.161
14-01-03, 25, 202, 4394, 0.046, 0.124
14-01-04, 22, 161, 4123, 0.039, 0.137
14-01-05, 37, 184, 4489, 0.041, 0.201
14-01-06, 60, 571, 6221, 0.092, 0.105
14-01-07, 162, 777, 7603, 0.102, 0.208
14-01-08, 138, 930, 9106, 0.102, 0.148
14-01-09, 154, 1341, 10295, 0.130, 0.115
14-01-10, 186, 1114, 8964, 0.124, 0.167
14-01-11, 30, 214, 4654, 0.046, 0.140
14-01-12, 76, 470, 6260, 0.075, 0.162
14-01-13, 225, 1584, 11165, 0.142, 0.142
14-01-14, 261, 1780, 12264, 0.145, 0.147
14-01-15, 251, 1533, 11410, 0.134, 0.164
14-01-16, 255, 1620, 11478, 0.141, 0.157
14-01-17, 271, 1430, 9733, 0.147, 0.190
14-01-18, 20, 140, 4261, 0.033, 0.143
14-01-19, 33, 233, 5034, 0.046, 0.142
14-01-20, 101, 466, 6428, 0.072, 0.217
14-01-21, 198, 1403, 9679, 0.145, 0.141
14-01-22, 168, 1180, 8986, 0.131, 0.142
14-01-23, 172, 1248, 10006, 0.125, 0.138
14-01-24, 174, 971, 8322, 0.117, 0.179
14-01-25, 30, 158, 4461, 0.035, 0.190
14-01-26, 49, 429, 5751, 0.075, 0.114
14-01-27, 153, 996, 8811, 0.113, 0.154
14-01-28, 212, 1195, 9579, 0.125, 0.177
14-01-29, 212, 1398, 10317, 0.136, 0.152
14-01-30, 293, 1628, 11237, 0.145, 0.180
14-01-31, 220, 1069, 9313, 0.115, 0.206
14-02-01, 17, 259, 4891, 0.053, 0.066
14-02-02, 36, 426, 6252, 0.068, 0.085
14-02-03, 250, 1656, 11589, 0.143, 0.151
14-02-04, 416, 1855, 12446, 0.149, 0.224
14-02-05, 256, 1454, 10711, 0.136, 0.176
14-02-06, 383, 1909, 12923, 0.148, 0.201
14-02-07, 291, 1547, 11171, 0.138, 0.188
14-02-08, 37, 248, 4787, 0.052, 0.149
14-02-09, 68, 551, 7169, 0.077, 0.123
14-02-10, 366, 2190, 14735, 0.149, 0.167
