Date, Expand_Button_Click(E), Research_Topic_Show(R), Search_Count(S), R/S, E/R
13-01-01, 18, 125, 4324, 0.029, 0.144
13-01-02, 92, 560, 6815, 0.082, 0.164
13-01-03, 262, 1065, 9472, 0.112, 0.246
13-01-04, 305, 1086, 8993, 0.121, 0.281
13-01-05, 43, 175, 5335, 0.033, 0.246
13-01-06, 58, 293, 6058, 0.048, 0.198
13-01-07, 282, 1323, 10794, 0.123, 0.213
13-01-08, 324, 1637, 12442, 0.132, 0.198
13-01-09, 342, 1899, 13552, 0.140, 0.180
13-01-10, 243, 1816, 13446, 0.135, 0.134
13-01-11, 229, 1505, 11404, 0.132, 0.152
13-01-12, 32, 195, 5566, 0.035, 0.164
13-01-13, 59, 480, 7091, 0.068, 0.123
13-01-14, 250, 1685, 12578, 0.134, 0.148
13-01-15, 276, 1678, 13930, 0.120, 0.164
13-01-16, 206, 1447, 12324, 0.117, 0.142
13-01-17, 258, 1711, 13483, 0.127, 0.151
13-01-18, 173, 1216, 10344, 0.118, 0.142
13-01-19, 12, 161, 5253, 0.031, 0.075
13-01-20, 27, 274, 5940, 0.046, 0.099
13-01-21, 90, 522, 7558, 0.069, 0.172
13-01-22, 203, 1631, 12310, 0.132, 0.124
13-01-23, 264, 1582, 13270, 0.119, 0.167
13-01-24, 233, 1509, 12404, 0.122, 0.154
13-01-25, 159, 1109, 10249, 0.108, 0.143
13-01-26, 20, 225, 6153, 0.037, 0.089
13-01-27, 59, 451, 7883, 0.057, 0.131
13-01-28, 213, 1450, 12324, 0.118, 0.147
13-01-29, 276, 1594, 13101, 0.122, 0.173
13-01-30, 298, 1933, 14895, 0.130, 0.154
13-01-31, 313, 1724, 12646, 0.136, 0.182
13-02-01, 163, 1169, 10501, 0.111, 0.139
13-02-02, 21, 211, 6236, 0.034, 0.100
13-02-03, 53, 437, 7596, 0.058, 0.121
13-02-04, 327, 1816, 13870, 0.131, 0.180
13-02-05, 370, 2203, 16670, 0.132, 0.168
13-02-06, 308, 2092, 15681, 0.133, 0.147
13-02-07, 493, 2315, 16114, 0.144, 0.213
13-02-08, 220, 1321, 10834, 0.122, 0.167
13-02-09, 36, 228, 6189, 0.037, 0.158
13-02-10, 91, 596, 8244, 0.072, 0.153
13-02-11, 244, 1829, 17517, 0.104, 0.133
13-02-12, 382, 2189, 15999, 0.137, 0.175
13-02-13, 385, 2276, 15669, 0.145, 0.169
13-02-14, 291, 2077, 14984, 0.139, 0.140
13-02-15, 378, 1242, 10762, 0.115, 0.304
13-02-16, 43, 253, 5639, 0.045, 0.170
13-02-17, 41, 382, 6706, 0.057, 0.107
13-02-18, 162, 846, 9671, 0.087, 0.191
13-02-19, 459, 1938, 15794, 0.123, 0.237
13-02-20, 416, 1931, 15616, 0.124, 0.215
13-02-21, 328, 1998, 14743, 0.136, 0.164
13-02-22, 258, 1496, 11936, 0.125, 0.172
13-02-23, 30, 245, 6311, 0.039, 0.122
13-02-24, 124, 591, 8428, 0.070, 0.210
13-02-25, 295, 2155, 15426, 0.140, 0.137
13-02-26, 332, 2047, 16075, 0.127, 0.162
13-02-27, 326, 2079, 15450, 0.135, 0.157
13-02-28, 329, 2138, 15933, 0.134, 0.154
13-03-01, 210, 1290, 11626, 0.111, 0.163
13-03-02, 44, 308, 6482, 0.048, 0.143
13-03-03, 123, 743, 9056, 0.082, 0.166
13-03-04, 288, 1811, 14492, 0.125, 0.159
13-03-05, 355, 2061, 14873, 0.139, 0.172
13-03-06, 256, 1735, 14127, 0.123, 0.148
13-03-07, 410, 2260, 15458, 0.146, 0.181
13-03-08, 223, 1460, 11330, 0.129, 0.153
13-03-09, 38, 226, 6131, 0.037, 0.168
13-03-10, 74, 495, 7927, 0.062, 0.149
13-03-11, 279, 1820, 14104, 0.129, 0.153
13-03-12, 305, 1999, 15769, 0.127, 0.153
13-03-13, 265, 1823, 13817, 0.132, 0.145
13-03-14, 296, 1939, 14555, 0.133, 0.153
13-03-15, 172, 1306, 11234, 0.116, 0.132
13-03-16, 32, 221, 5922, 0.037, 0.145
13-03-17, 72, 547, 8333, 0.066, 0.132
13-03-18, 264, 2015, 14867, 0.136, 0.131
13-03-19, 209, 1828, 14308, 0.128, 0.114
13-03-20, 300, 1826, 14061, 0.130, 0.164
13-03-21, 203, 1581, 13498, 0.117, 0.128
13-03-22, 184, 1230, 11045, 0.111, 0.150
13-03-23, 40, 224, 5894, 0.038, 0.179
13-03-24, 66, 368, 7493, 0.049, 0.179
13-03-25, 225, 1468, 12419, 0.118, 0.153
13-03-26, 317, 1694, 12934, 0.131, 0.187
13-03-27, 260, 1569, 12741, 0.123, 0.166
13-03-28, 184, 1135, 9469, 0.120, 0.162
13-03-29, 59, 407, 5915, 0.069, 0.145
13-03-30, 21, 194, 5138, 0.038, 0.108
13-03-31, 33, 270, 5742, 0.047, 0.122
13-04-01, 139, 931, 9677, 0.096, 0.149
13-04-02, 260, 1588, 12272, 0.129, 0.164
13-04-03, 193, 1328, 11722, 0.113, 0.145
13-04-04, 199, 1408, 12186, 0.116, 0.141
13-04-05, 152, 1080, 9760, 0.111, 0.141
13-04-06, 34, 294, 5826, 0.050, 0.116
13-04-07, 85, 478, 7262, 0.066, 0.178
13-04-08, 242, 1643, 14039, 0.117, 0.147
13-04-09, 321, 2099, 15277, 0.137, 0.153
13-04-10, 301, 2283, 15234, 0.150, 0.132
13-04-11, 325, 2017, 14744, 0.137, 0.161
13-04-12, 250, 1422, 11357, 0.125, 0.176
13-04-13, 37, 248, 5684, 0.044, 0.149
13-04-14, 70, 533, 4744, 0.112, 0.131
13-04-15, 239, 1715, 15189, 0.113, 0.139
13-04-16, 319, 2111, 15919, 0.133, 0.151
13-04-17, 342, 2060, 14888, 0.138, 0.166
13-04-18, 368, 1962, 14025, 0.140, 0.188
13-04-19, 224, 1329, 10339, 0.129, 0.169
13-04-20, 21, 173, 5636, 0.031, 0.121
13-04-21, 99, 552, 7708, 0.072, 0.179
13-04-22, 301, 1675, 13190, 0.127, 0.180
13-04-23, 262, 1594, 12898, 0.124, 0.164
13-04-24, 255, 1772, 12978, 0.137, 0.144
13-04-25, 245, 1689, 13587, 0.124, 0.145
13-04-26, 151, 1117, 10109, 0.110, 0.135
13-04-27, 21, 227, 5701, 0.040, 0.093
13-04-28, 107, 537, 7770, 0.069, 0.199
