Data, Search from Specific Time Period, Tag Search
13-09-23, 147, 30
13-09-24, 160, 52
13-09-25, 138, 52
13-09-26, 102, 30
13-09-27, 101, 14
13-09-28, 111, 8
13-09-29, 124, 18
13-09-30, 126, 72
13-10-01, 159, 31
13-10-02, 111, 22
13-10-03, 110, 39
13-10-04, 82, 16
13-10-05, 50, 3
13-10-06, 85, 20
13-10-07, 100, 36
13-10-08, 202, 26
13-10-09, 189, 22
13-10-10, 116, 28
13-10-11, 162, 22
13-10-12, 96, 3
13-10-13, 71, 14
13-10-14, 146, 40
13-10-15, 182, 47
13-10-16, 146, 27
13-10-17, 149, 51
13-10-18, 198, 14
13-10-19, 102, 7
13-10-20, 105, 21
13-10-21, 180, 38
13-10-22, 197, 46
13-10-23, 192, 39
13-10-24, 206, 18
13-10-25, 121, 11
13-10-26, 71, 2
13-10-27, 102, 21
13-10-28, 191, 16
13-10-29, 165, 22
13-10-30, 207, 68
13-10-31, 181, 43
13-11-01, 137, 34
13-11-02, 162, 4
13-11-03, 134, 12
13-11-04, 140, 41
13-11-05, 185, 82
13-11-06, 155, 46
13-11-07, 117, 66
13-11-08, 75, 33
13-11-09, 100, 2
13-11-10, 146, 16
13-11-11, 121, 12
13-11-12, 160, 36
13-11-13, 134, 60
13-11-14, 159, 39
13-11-15, 118, 20
13-11-16, 105, 5
13-11-17, 125, 4
13-11-18, 197, 37
13-11-19, 217, 59
13-11-20, 123, 27
13-11-21, 184, 20
13-11-22, 79, 48
13-11-23, 106, 6
13-11-24, 117, 16
13-11-25, 135, 27
13-11-26, 135, 13
13-11-27, 113, 4
13-11-28, 24, 4
13-11-29, 71, 14
13-11-30, 86, 3
13-12-01, 138, 10
13-12-02, 167, 31
13-12-03, 171, 30
13-12-04, 178, 19
13-12-05, 154, 49
13-12-06, 113, 43
13-12-07, 106, 12
13-12-08, 92, 20
13-12-09, 102, 34
13-12-10, 156, 25
13-12-11, 74, 31
13-12-12, 82, 22
13-12-13, 88, 6
13-12-14, 63, 15
13-12-15, 73, 9
13-12-16, 120, 27
13-12-17, 109, 14
13-12-18, 70, 15
13-12-19, 76, 7
13-12-20, 40, 1
13-12-21, 19, 0
13-12-22, 42, 0
13-12-23, 58, 0
13-12-24, 45, 1
13-12-25, 4, 3
13-12-26, 18, 0
13-12-27, 18, 0
13-12-28, 57, 3
13-12-29, 33, 0
13-12-30, 23, 22
13-12-31, 7, 0
14-01-01, 9, 3
14-01-02, 18, 9
14-01-03, 20, 3
14-01-04, 36, 5
14-01-05, 12, 10
14-01-06, 50, 3
14-01-07, 50, 12
14-01-08, 39, 17
14-01-09, 72, 39
14-01-10, 32, 21
14-01-11, 21, 11
14-01-12, 35, 5
14-01-13, 83, 19
14-01-14, 55, 33
14-01-15, 47, 33
14-01-16, 53, 16
14-01-17, 39, 14
14-01-18, 14, 12
14-01-19, 20, 20
14-01-20, 39, 15
14-01-21, 52, 34
14-01-22, 46, 36
14-01-23, 60, 16
14-01-24, 32, 37
14-01-25, 56, 14
14-01-26, 43, 11
14-01-27, 50, 19
14-01-28, 76, 29
14-01-29, 91, 30
14-01-30, 63, 53
14-01-31, 58, 18
14-02-01, 25, 10
14-02-02, 30, 4
14-02-03, 77, 48
14-02-04, 114, 21
14-02-05, 60, 26
14-02-06, 103, 27
14-02-07, 87, 23
14-02-08, 29, 5
14-02-09, 67, 24
14-02-10, 132, 35
14-02-11, 81, 33
14-02-12, 91, 34
14-02-13, 72, 25
14-02-14, 53, 8
14-02-15, 11, 3
14-02-16, 27, 9
14-02-17, 70, 34
14-02-18, 83, 48
14-02-19, 145, 42
14-02-20, 104, 28
14-02-21, 77, 2
14-02-22, 24, 8
14-02-23, 55, 27
14-02-24, 95, 28
