Month,Weekday,Date, Search from Popular Search, Popular Search from Homepage
January,Tue,13-01-01,1,1
January,Wed,13-01-02,6,2
January,Thu,13-01-03,2,0
January,Fri,13-01-04,12,3
January,Sat,13-01-05,3,0
January,Sun,13-01-06,9,5
January,Mon,13-01-07,19,11
January,Tue,13-01-08,8,1
January,Wed,13-01-09,4,0
January,Thu,13-01-10,45,4
January,Fri,13-01-11,5,0
January,Sat,13-01-12,1,0
January,Sun,13-01-13,0,0
January,Mon,13-01-14,6,1
January,Tue,13-01-15,18,1
January,Wed,13-01-16,1,0
January,Thu,13-01-17,16,1
January,Fri,13-01-18,10,3
January,Sat,13-01-19,0,0
January,Sun,13-01-20,7,0
January,Mon,13-01-21,1,1
January,Tue,13-01-22,10,5
January,Wed,13-01-23,5,1
January,Thu,13-01-24,4,1
January,Fri,13-01-25,4,3
January,Sat,13-01-26,1,1
January,Sun,13-01-27,1,0
January,Mon,13-01-28,13,11
January,Tue,13-01-29,61,49
January,Wed,13-01-30,15,9
January,Thu,13-01-31,6,3
February,Fri,13-02-01,4,2
February,Sat,13-02-02,3,0
February,Sun,13-02-03,0,0
February,Mon,13-02-04,3,0
February,Tue,13-02-05,12,5
February,Wed,13-02-06,4,2
February,Thu,13-02-07,8,2
February,Fri,13-02-08,6,6
February,Sat,13-02-09,2,0
February,Sun,13-02-10,3,1
February,Mon,13-02-11,4,0
February,Tue,13-02-12,7,0
February,Wed,13-02-13,20,3
February,Thu,13-02-14,17,8
February,Fri,13-02-15,7,1
February,Sat,13-02-16,0,0
February,Sun,13-02-17,1,0
February,Mon,13-02-18,10,2
February,Tue,13-02-19,23,5
February,Wed,13-02-20,11,4
February,Thu,13-02-21,7,3
February,Fri,13-02-22,3,2
February,Sat,13-02-23,2,0
February,Sun,13-02-24,4,1
February,Mon,13-02-25,10,4
February,Tue,13-02-26,7,2
February,Wed,13-02-27,11,2
February,Thu,13-02-28,8,5
March,Fri,13-03-01,5,1
March,Sat,13-03-02,2,0
March,Sun,13-03-03,6,1
March,Mon,13-03-04,11,3
March,Tue,13-03-05,2,1
March,Wed,13-03-06,10,6
March,Thu,13-03-07,17,7
March,Fri,13-03-08,5,2
March,Sat,13-03-09,0,0
March,Sun,13-03-10,1,0
March,Mon,13-03-11,18,1
March,Tue,13-03-12,3,0
March,Wed,13-03-13,10,6
March,Thu,13-03-14,1,0
March,Fri,13-03-15,3,2
March,Sat,13-03-16,1,0
March,Sun,13-03-17,2,1
March,Mon,13-03-18,10,1
March,Tue,13-03-19,2,0
March,Wed,13-03-20,9,3
March,Thu,13-03-21,2,2
March,Fri,13-03-22,3,1
March,Sat,13-03-23,6,5
March,Sun,13-03-24,0,0
March,Mon,13-03-25,6,1
March,Tue,13-03-26,3,0
March,Wed,13-03-27,22,18
March,Thu,13-03-28,5,1
March,Fri,13-03-29,6,6
March,Sat,13-03-30,0,0
March,Sun,13-03-31,3,1
April,Mon,13-04-01,7,4
April,Tue,13-04-02,6,1
April,Wed,13-04-03,5,3
April,Thu,13-04-04,3,1
April,Fri,13-04-05,2,1
April,Sat,13-04-06,1,0
April,Sun,13-04-07,0,0
April,Mon,13-04-08,7,0
April,Tue,13-04-09,14,1
April,Wed,13-04-10,17,6
April,Thu,13-04-11,7,2
April,Fri,13-04-12,5,1
April,Sat,13-04-13,6,0
April,Sun,13-04-14,1,0
April,Mon,13-04-15,8,1
April,Tue,13-04-16,8,1
April,Wed,13-04-17,5,0
April,Thu,13-04-18,3,1
April,Fri,13-04-19,28,1
April,Sat,13-04-20,1,0
April,Sun,13-04-21,35,0
April,Mon,13-04-22,36,0
April,Tue,13-04-23,15,0
April,Wed,13-04-24,36,0
April,Thu,13-04-25,50,0
April,Fri,13-04-26,5,0
April,Sat,13-04-27,25,0
April,Sun,13-04-28,2,0
April,Mon,13-04-29,14,1
Apr,Tue,13-04-30,49,3
May,Wed,13-05-01,51,1
May,Thu,13-05-02,33,1
May,Fri,13-05-03,12,1
May,Sat,13-05-04,31,0
May,Sun,13-05-05,12,0
May,Mon,13-05-06,26,1
May,Tue,13-05-07,9,1
May,Wed,13-05-08,5,3
May,Thu,13-05-09,6,2
May,Fri,13-05-10,3,0
May,Sat,13-05-11,2,1
May,Sun,13-05-12,1,0
May,Mon,13-05-13,8,5
May,Tue,13-05-14,6,0
May,Wed,13-05-15,5,4
May,Thu,13-05-16,26,0
May,Fri,13-05-17,1,0
May,Sat,13-05-18,0,0
May,Sun,13-05-19,2,0
May,Mon,13-05-20,5,0
May,Tue,13-05-21,11,0
May,Wed,13-05-22,13,4
May,Thu,13-05-23,5,0
May,Fri,13-05-24,1,0
May,Sat,13-05-25,1,0
May,Sun,13-05-26,3,3
May,Mon,13-05-27,1,0
May,Tue,13-05-28,5,0
May,Wed,13-05-29,3,2
May,Thu,13-05-30,1,1
May,Fri,13-05-31,5,2
June,Sat,13-06-01,0,0
June,Sun,13-06-02,0,0
June,Mon,13-06-03,9,0
June,Tue,13-06-04,2,0
June,Wed,13-06-05,0,0
June,Thu,13-06-06,5,1
June,Fri,13-06-07,2,0
June,Sat,13-06-08,0,0
June,Sun,13-06-09,0,0
June,Mon,13-06-10,3,0
June,Tue,13-06-11,1,1
June,Wed,13-06-12,34,20
June,Thu,13-06-13,3,0
June,Fri,13-06-14,1,0
June,Sat,13-06-15,1,0
June,Sun,13-06-16,0,0
June,Mon,13-06-17,0,0
June,Tue,13-06-18,3,1
June,Wed,13-06-19,3,3
June,Thu,13-06-20,10,10
June,Fri,13-06-21,0,0
June,Sat,13-06-22,0,0
June,Sun,13-06-23,0,0
June,Mon,13-06-24,5,0
June,Tue,13-06-25,5,2
June,Wed,13-06-26,12,2
June,Thu,13-06-27,3,0
June,Fri,13-06-28,1,0
June,Sat,13-06-29,1,0
June,Sun,13-06-30,0,0
July,Mon,13-07-01,2,0
July,Tue,13-07-02,0,0
July,Wed,13-07-03,0,0
July,Thu,13-07-04,0,0
July,Fri,13-07-05,0,0
July,Sat,13-07-06,0,0
July,Sun,13-07-07,2,0
July,Mon,13-07-08,3,0
July,Tue,13-07-09,2,1
July,Wed,13-07-10,1,0
July,Thu,13-07-11,2,0
July,Fri,13-07-12,1,0
July,Sat,13-07-13,0,0
July,Sun,13-07-14,1,1
July,Mon,13-07-15,1,0
July,Tue,13-07-16,0,0
July,Wed,13-07-17,3,2
July,Thu,13-07-18,0,0
July,Fri,13-07-19,0,0
July,Sat,13-07-20,0,0
July,Sun,13-07-21,1,0
July,Mon,13-07-22,0,0
July,Tue,13-07-23,0,0
July,Wed,13-07-24,0,0
July,Thu,13-07-25,1,0
July,Fri,13-07-26,1,0
July,Sat,13-07-27,2,0
July,Sun,13-07-28,0,0
July,Mon,13-07-29,2,1
July,Tue,13-07-30,2,0
July,Wed,13-07-31,2,1
August,Thu,13-08-01,0,0
August,Fri,13-08-02,2,0
August,Sat,13-08-03,2,0
August,Sun,13-08-04,3,0
August,Mon,13-08-05,3,0
August,Tue,13-08-06,3,0
August,Wed,13-08-07,0,0
August,Thu,13-08-08,2,2
August,Fri,13-08-09,4,0
August,Sat,13-08-10,1,0
August,Sun,13-08-11,1,0
August,Mon,13-08-12,0,0
August,Tue,13-08-13,6,2
August,Wed,13-08-14,0,0
August,Thu,13-08-15,0,0
August,Fri,13-08-16,1,0
August,Sat,13-08-17,2,0
August,Sun,13-08-18,4,0
August,Mon,13-08-19,0,0
August,Tue,13-08-20,0,0
August,Wed,13-08-21,4,1
August,Thu,13-08-22,6,0
August,Fri,13-08-23,4,0
August,Sat,13-08-24,0,0
August,Sun,13-08-25,0,0
August,Mon,13-08-26,3,1
August,Tue,13-08-27,15,8
August,Wed,13-08-28,2,0
August,Thu,13-08-29,7,3
August,Fri,13-08-30,8,0
August,Sat,13-08-31,2,2
September,Sun,13-09-01,1,1
September,Mon,13-09-02,1,0
September,Tue,13-09-03,3,0
September,Wed,13-09-04,9,3
September,Thu,13-09-05,8,5
September,Fri,13-09-06,13,0
September,Sat,13-09-07,0,0
September,Sun,13-09-08,1,0
September,Mon,13-09-09,3,2
September,Tue,13-09-10,4,0
September,Wed,13-09-11,0,0
September,Thu,13-09-12,9,5
September,Fri,13-09-13,2,0
September,Sat,13-09-14,0,0
September,Sun,13-09-15,3,0
September,Mon,13-09-16,3,1
September,Tue,13-09-17,6,0
September,Wed,13-09-18,2,0
September,Thu,13-09-19,21,13
September,Fri,13-09-20,1,0
September,Sat,13-09-21,0,0
September,Sun,13-09-22,1,1
September,Mon,13-09-23,6,4
September,Tue,13-09-24,19,11
September,Wed,13-09-25,20,2
September,Thu,13-09-26,2,1
September,Fri,13-09-27,7,0
September,Sat,13-09-28,1,0
September,Sun,13-09-29,4,1
September,Mon,13-09-30,7,0
October,Tue,13-10-01,13,4
October,Wed,13-10-02,10,3
October,Thu,13-10-03,10,1
October,Fri,13-10-04,15,0
October,Sat,13-10-05,0,0
October,Sun,13-10-06,4,1
October,Mon,13-10-07,3,0
October,Tue,13-10-08,11,2
October,Wed,13-10-09,5,1
October,Thu,13-10-10,28,3
October,Fri,13-10-11,54,3
October,Sat,13-10-12,0,0
October,Sun,13-10-13,2,1
October,Mon,13-10-14,5,3
October,Tue,13-10-15,2,0
October,Wed,13-10-16,2,2
October,Thu,13-10-17,8,3
October,Fri,13-10-18,9,0
October,Sat,13-10-19,0,0
October,Sun,13-10-20,2,0
