Date, Search Count, Research Topic Click
13-09-02, 8447, 11
13-09-03, 8453, 143
13-09-04, 9217, 76
13-09-05, 8491, 36
13-09-06, 7128, 25
13-09-07, 4877, 8
13-09-08, 5829, 14
13-09-09, 11719, 44
13-09-10, 10352, 29
13-09-11, 9895, 64
13-09-12, 10619, 41
13-09-13, 8620, 64
13-09-14, 4648, 9
13-09-15, 6458, 25
13-09-16, 14582, 42
13-09-17, 13633, 63
13-09-18, 10864, 40
13-09-19, 11390, 75
13-09-20, 9309, 34
13-09-21, 4849, 15
13-09-22, 6573, 7
13-09-23, 14512, 51
13-09-24, 13992, 60
13-09-25, 12576, 36
13-09-26, 11279, 85
13-09-27, 8389, 32
13-09-28, 4880, 17
13-09-29, 6449, 10
13-09-30, 14278, 39
13-10-01, 13955, 76
13-10-02, 12370, 34
13-10-03, 12282, 92
13-10-04, 9368, 71
13-10-05, 4694, 14
13-10-06, 7338, 31
13-10-07, 15342, 51
13-10-08, 14262, 103
13-10-09, 16841, 67
13-10-10, 18477, 79
13-10-11, 9857, 75
13-10-12, 4631, 9
13-10-13, 6465, 41
13-10-14, 15599, 76
13-10-15, 14596, 103
13-10-16, 13873, 60
13-10-17, 14504, 76
13-10-18, 10871, 16
13-10-19, 5654, 29
13-10-20, 8394, 18
13-10-21, 17518, 60
13-10-22, 16266, 91
13-10-23, 16713, 43
13-10-24, 15293, 96
13-10-25, 11447, 32
13-10-26, 5646, 9
13-10-27, 8023, 24
13-10-28, 17960, 30
13-10-29, 15729, 103
13-10-30, 17313, 89
13-10-31, 13411, 41
13-11-01, 10478, 52
13-11-02, 6226, 21
13-11-03, 8315, 12
13-11-04, 18914, 40
13-11-05, 16954, 93
13-11-06, 17097, 65
13-11-07, 15383, 98
13-11-08, 12098, 76
13-11-09, 6144, 16
13-11-10, 7965, 12
13-11-11, 14463, 48
13-11-12, 16967, 72
13-11-13, 17864, 59
13-11-14, 16397, 187
13-11-15, 13038, 68
13-11-16, 6110, 16
13-11-17, 8430, 16
13-11-18, 20091, 77
13-11-19, 18412, 91
13-11-20, 16731, 88
13-11-21, 14299, 25
13-11-22, 11469, 12
13-11-23, 5766, 7
13-11-24, 7896, 10
13-11-25, 17864, 53
13-11-26, 13144, 63
13-11-27, 14045, 8
13-11-28, 3803, 7
13-11-29, 4428, 4
13-11-30, 5490, 10
13-12-01, 8060, 10
13-12-02, 16693, 36
13-12-03, 15279, 67
13-12-04, 15502, 92
13-12-05, 14971, 26
13-12-06, 11593, 64
13-12-07, 5479, 11
13-12-08, 8105, 16
13-12-09, 16096, 23
13-12-10, 12382, 35
13-12-11, 12958, 21
13-12-12, 13118, 40
13-12-13, 9654, 43
13-12-14, 4769, 12
13-12-15, 6707, 9
13-12-16, 15050, 89
13-12-17, 11045, 26
13-12-18, 9018, 15
13-12-19, 8896, 10
13-12-20, 5175, 2
13-12-21, 2976, 6
13-12-22, 2874, 6
13-12-23, 5542, 12
13-12-24, 2056, 5
13-12-25, 1961, 5
13-12-26, 2272, 3
13-12-27, 2455, 15
13-12-28, 2654, 4
13-12-29, 2682, 6
13-12-30, 5626, 8
13-12-31, 2310, 3
14-01-01, 2919, 3
14-01-02, 4588, 34
14-01-03, 3464, 20
14-01-04, 3154, 11
14-01-05, 3597, 14
14-01-06, 8992, 21
14-01-07, 7547, 26
14-01-08, 9786, 37
14-01-09, 11283, 42
14-01-10, 9289, 35
14-01-11, 4004, 13
14-01-12, 6115, 7
14-01-13, 15540, 218
14-01-14, 13726, 71
14-01-15, 12585, 66
14-01-16, 12829, 87
14-01-17, 10309, 74
14-01-18, 3728, 8
14-01-19, 4799, 18
14-01-20, 13088, 14
14-01-21, 13481, 57
14-01-22, 9982, 56
14-01-23, 10867, 62
14-01-24, 8517, 29
14-01-25, 4285, 16
14-01-26, 6175, 20
14-01-27, 13095, 34
14-01-28, 10661, 53
14-01-29, 11941, 102
14-01-30, 12753, 78
14-01-31, 10023, 47
14-02-01, 4728, 23
14-02-02, 6582, 8
14-02-03, 15877, 43
14-02-04, 14411, 60
14-02-05, 12552, 66
14-02-06, 14701, 88
14-02-07, 12464, 95
14-02-08, 4561, 0
14-02-09, 7886, 8
14-02-10, 20371, 163
14-02-11, 16045, 84
