Date, Search Count, Research Topic Click
13-05-31, 2262, 38
13-06-01, 1197, 7
13-06-02, 2010, 14
13-06-03, 2981, 8
13-06-04, 2720, 17
13-06-05, 2750, 14
13-06-06, 2255, 15
13-06-07, 1390, 13
13-06-08, 957, 4
13-06-09, 1199, 12
13-06-10, 1802, 45
13-06-11, 1834, 7
13-06-12, 1745, 45
13-06-13, 1603, 26
13-06-14, 936, 6
13-06-15, 624, 5
13-06-16, 1010, 2
13-06-17, 1056, 13
13-06-18, 1097, 10
13-06-19, 1282, 10
13-06-20, 1207, 16
13-06-21, 724, 9
13-06-22, 566, 6
13-06-23, 778, 8
13-06-24, 1085, 15
13-06-25, 1278, 20
13-06-26, 1138, 19
13-06-27, 1187, 29
13-06-28, 628, 13
13-06-29, 370, 1
13-06-30, 566, 0
13-07-01, 846, 3
13-07-02, 646, 3
13-07-03, 1076, 21
13-07-04, 320, 4
13-07-05, 488, 3
13-07-06, 446, 5
13-07-07, 521, 2
13-07-08, 1160, 6
13-07-09, 1144, 21
13-07-10, 1111, 10
13-07-11, 1118, 11
13-07-12, 718, 4
13-07-13, 582, 5
13-07-14, 843, 3
13-07-15, 1220, 21
13-07-16, 1131, 21
13-07-17, 1236, 16
13-07-18, 1073, 11
13-07-19, 859, 7
13-07-20, 692, 7
13-07-21, 1083, 6
13-07-22, 1261, 1
13-07-23, 1420, 24
13-07-24, 1359, 12
13-07-25, 1400, 21
13-07-26, 761, 0
13-07-27, 921, 0
13-07-28, 1137, 5
13-07-29, 1391, 28
13-07-30, 1375, 34
13-07-31, 1267, 8
13-08-01, 1191, 6
13-08-02, 770, 4
13-08-03, 737, 6
13-08-04, 961, 12
13-08-05, 1159, 26
13-08-06, 1192, 18
13-08-07, 1172, 29
13-08-08, 1172, 68
13-08-09, 934, 9
13-08-10, 605, 13
13-08-11, 814, 7
13-08-12, 1112, 3
13-08-13, 1138, 25
13-08-14, 1213, 8
13-08-15, 929, 15
13-08-16, 610, 17
13-08-17, 561, 12
13-08-18, 811, 7
13-08-19, 1127, 10
13-08-20, 1119, 7
13-08-21, 1382, 36
13-08-22, 1364, 24
13-08-23, 978, 25
13-08-24, 1334, 26
13-08-25, 1238, 6
13-08-26, 1672, 40
13-08-27, 1614, 38
13-08-28, 1932, 34
13-08-29, 2151, 42
13-08-30, 1693, 8
13-08-31, 712, 0
13-09-01, 1106, 12
13-09-02, 1074, 11
13-09-03, 2499, 143
13-09-04, 2910, 76
13-09-05, 2834, 36
13-09-06, 2271, 25
13-09-07, 933, 8
13-09-08, 1355, 14
13-09-09, 2716, 44
13-09-10, 3466, 29
13-09-11, 3302, 64
13-09-12, 4158, 41
13-09-13, 3164, 64
13-09-14, 911, 9
13-09-15, 1733, 25
13-09-16, 4412, 42
13-09-17, 5621, 63
13-09-18, 3914, 40
13-09-19, 4352, 75
13-09-20, 3272, 34
13-09-21, 944, 15
13-09-22, 1845, 7
13-09-23, 4336, 51
13-09-24, 5754, 60
13-09-25, 5054, 36
13-09-26, 4438, 85
13-09-27, 3030, 32
13-09-28, 890, 17
13-09-29, 1724, 10
13-09-30, 4269, 39
13-10-01, 5682, 76
13-10-02, 4853, 34
13-10-03, 4844, 92
13-10-04, 3399, 71
13-10-05, 889, 14
13-10-06, 2212, 31
13-10-07, 4625, 51
13-10-08, 5190, 103
13-10-09, 5777, 67
13-10-10, 5575, 79
13-10-11, 3553, 75
13-10-12, 810, 9
13-10-13, 1652, 41
13-10-14, 4569, 76
13-10-15, 5489, 103
13-10-16, 5334, 60
13-10-17, 5985, 76
13-10-18, 4226, 16
13-10-19, 1235, 29
13-10-20, 2505, 18
13-10-21, 5560, 60
13-10-22, 6206, 91
13-10-23, 6742, 43
13-10-24, 6198, 96
13-10-25, 4499, 32
13-10-26, 1160, 9
13-10-27, 2397, 24
13-10-28, 6021, 30
13-10-29, 6203, 103
13-10-30, 7366, 89
13-10-31, 5342, 41
13-11-01, 3963, 52
13-11-02, 1454, 21
13-11-03, 2508, 12
13-11-04, 6618, 40
13-11-05, 6784, 93
13-11-06, 6996, 65
13-11-07, 6450, 98
13-11-08, 4879, 76
13-11-09, 1363, 16
13-11-10, 2211, 12
13-11-11, 4085, 48
13-11-12, 6591, 72
13-11-13, 7361, 59
13-11-14, 7145, 187
13-11-15, 5265, 68
13-11-16, 1419, 16
13-11-17, 2496, 16
13-11-18, 7056, 77
13-11-19, 7310, 91
13-11-20, 6866, 88
13-11-21, 5892, 25
13-11-22, 4580, 12
13-11-23, 1294, 7
13-11-24, 2342, 10
13-11-25, 5751, 53
13-11-26, 4895, 63
13-11-27, 2450, 8
13-11-28, 592, 7
13-11-29, 995, 4
13-11-30, 1236, 10
13-12-01, 2379, 10
13-12-02, 5233, 36
13-12-03, 5892, 67
13-12-04, 6259, 92
13-12-05, 6272, 26
13-12-06, 4770, 64
13-12-07, 1122, 11
13-12-08, 2547, 16
13-12-09, 5163, 23
13-12-10, 4746, 35
13-12-11, 5244, 21
13-12-12, 5560, 40
13-12-13, 3811, 43
13-12-14, 1019, 12
13-12-15, 2083, 9
13-12-16, 4633, 89
13-12-17, 4131, 26
13-12-18, 3301, 15
13-12-19, 3394, 10
13-12-20, 1521, 2
13-12-21, 343, 6
13-12-22, 335, 6
13-12-23, 296, 12
13-12-24, 103, 5
13-12-25, 139, 5
13-12-26, 231, 3
13-12-27, 342, 15
13-12-28, 383, 4
13-12-29, 309, 6
13-12-30, 445, 8
13-12-31, 350, 3
14-01-01, 579, 3
14-01-02, 1375, 34
14-01-03, 962, 20
14-01-04, 740, 11
14-01-05, 867, 14
14-01-06, 2000, 21
14-01-07, 2871, 26
14-01-08, 3950, 37
14-01-09, 4515, 42
14-01-10, 3664, 35
14-01-11, 1042, 13
14-01-12, 1973, 7
14-01-13, 5357, 218
14-01-14, 6039, 71
14-01-15, 5533, 66
14-01-16, 5556, 87
14-01-17, 4429, 74
14-01-18, 869, 8
14-01-19, 1330, 18
14-01-20, 2220, 14
14-01-21, 4368, 57
14-01-22, 4114, 56
14-01-23, 4486, 62
14-01-24, 3411, 29
14-01-25, 1065, 16
14-01-26, 1795, 20
14-01-27, 3931, 34
14-01-28, 4410, 53
14-01-29, 5026, 102
14-01-30, 5425, 78
14-01-31, 4073, 47
14-02-01, 1266, 23
14-02-02, 2161, 8
14-02-03, 5392, 43
14-02-04, 6092, 60
14-02-05, 5132, 66
14-02-06, 6457, 88
14-02-07, 5520, 95
14-02-08, 1159, 0
14-02-09, 2740, 8
14-02-10, 7983, 163
14-02-11, 7123, 84
