Date, Search Count, Research Topic Click
13-01-01, 552, 3
13-01-02, 1880, 21
13-01-03, 3873, 39
13-01-04, 3387, 185
13-01-05, 849, 5
13-01-06, 1407, 25
13-01-07, 4803, 42
13-01-08, 5754, 230
13-01-09, 6790, 72
13-01-10, 6567, 88
13-01-11, 5340, 83
13-01-12, 1266, 22
13-01-13, 2388, 17
13-01-14, 6078, 132
13-01-15, 6843, 119
13-01-16, 5866, 81
13-01-17, 6825, 83
13-01-18, 4962, 95
13-01-19, 1017, 13
13-01-20, 1599, 10
13-01-21, 2587, 32
13-01-22, 5694, 140
13-01-23, 6516, 52
13-01-24, 6090, 109
13-01-25, 4452, 60
13-01-26, 1561, 18
13-01-27, 2620, 38
13-01-28, 5597, 96
13-01-29, 6313, 73
13-01-30, 7478, 85
13-01-31, 5970, 95
13-02-01, 4508, 62
13-02-02, 1598, 8
13-02-03, 2450, 22
13-02-04, 6555, 54
13-02-05, 8560, 95
13-02-06, 8215, 71
13-02-07, 8398, 84
13-02-08, 4746, 22
13-02-09, 1608, 11
13-02-10, 2998, 29
13-02-11, 7639, 57
13-02-12, 8135, 166
13-02-13, 8270, 37
13-02-14, 7879, 108
13-02-15, 5018, 70
13-02-16, 1363, 25
13-02-17, 2002, 28
13-02-18, 4070, 42
13-02-19, 8236, 101
13-02-20, 8081, 74
13-02-21, 7641, 54
13-02-22, 5757, 38
13-02-23, 1916, 19
13-02-24, 3071, 33
13-02-25, 7951, 88
13-02-26, 8215, 69
13-02-27, 8040, 56
13-02-28, 8123, 118
13-03-01, 5261, 53
13-03-02, 1812, 13
13-03-03, 3483, 27
13-03-04, 7000, 96
13-03-05, 7310, 97
13-03-06, 7014, 42
13-03-07, 7657, 60
13-03-08, 5243, 60
13-03-09, 1519, 8
13-03-10, 2906, 7
13-03-11, 6900, 65
13-03-12, 7515, 145
13-03-13, 6614, 90
13-03-14, 7176, 59
13-03-15, 5194, 67
13-03-16, 1437, 9
13-03-17, 2952, 22
13-03-18, 7509, 140
13-03-19, 7210, 149
13-03-20, 7100, 57
13-03-21, 6914, 70
13-03-22, 5231, 30
13-03-23, 1396, 12
13-03-24, 2496, 25
13-03-25, 5864, 119
13-03-26, 6358, 77
13-03-27, 6154, 69
13-03-28, 4088, 55
13-03-29, 1725, 34
13-03-30, 1111, 8
13-03-31, 1523, 6
13-04-01, 4032, 102
13-04-02, 5633, 54
13-04-03, 5453, 53
13-04-04, 5733, 57
13-04-05, 4196, 17
13-04-06, 1461, 20
13-04-07, 2397, 21
13-04-08, 6897, 125
13-04-09, 7798, 186
13-04-10, 8085, 88
13-04-11, 7348, 60
13-04-12, 5030, 50
13-04-13, 1289, 16
13-04-14, 2582, 16
13-04-15, 6779, 47
13-04-16, 8086, 77
13-04-17, 7545, 43
13-04-18, 7166, 29
13-04-19, 4704, 45
13-04-20, 1182, 8
13-04-21, 2674, 27
13-04-22, 6610, 53
13-04-23, 6053, 43
13-04-24, 6464, 40
13-04-25, 6902, 56
13-04-26, 4319, 43
13-04-27, 1552, 11
13-04-28, 2707, 48
13-04-29, 6688, 107
13-04-30, 5959, 72
13-05-01, 6089, 61
13-05-02, 5780, 49
13-05-03, 4119, 64
13-05-04, 1367, 8
13-05-05, 2904, 12
13-05-06, 5837, 33
13-05-07, 5833, 35
13-05-08, 5751, 79
13-05-09, 5956, 46
13-05-10, 3784, 62
13-05-11, 1365, 8
13-05-12, 2007, 5
13-05-13, 4960, 76
13-05-14, 5050, 44
13-05-15, 4932, 73
13-05-16, 4938, 50
13-05-17, 3726, 27
13-05-18, 1318, 19
13-05-19, 2326, 11
13-05-20, 4965, 25
13-05-21, 5049, 38
13-05-22, 4419, 34
13-05-23, 4223, 35
13-05-24, 2415, 16
13-05-25, 897, 3
13-05-26, 1285, 3
13-05-27, 2189, 13
13-05-28, 4023, 39
13-05-29, 3422, 92
13-05-30, 3559, 25
