Date, Expand_Button_Click(E), Research_Topic_Show(R), Search_Count(S), Advance_Search_Count(A), Core_Correalation_Click, Exit_Button_Click, Educator_Tool_Click, My_List_Click, Bookcarts_Click, Slideshows_Click, Timelines_Click, Quizzes_Click, R/S, E/R, A/S
13-11-25, 1423, 7825, 31071, 3872, 91, 136, 3, 315, 75, 28, 20, 21, 0.252, 0.182, 0.125
13-11-26, 1625, 8078, 26768, 2815, 92, 132, 6, 229, 46, 11, 33, 37, 0.302, 0.201, 0.105
13-11-27, 309, 2335, 12056, 1465, 61, 87, 3, 106, 36, 12, 10, 12, 0.194, 0.132, 0.122
13-11-28, 93, 725, 3777, 365, 13, 52, 1, 47, 19, 4, 3, 1, 0.192, 0.128, 0.097
13-11-29, 104, 929, 4883, 567, 32, 45, 2, 47, 46, 1, 3, 1, 0.190, 0.112, 0.116
13-11-30, 125, 1143, 6247, 722, 29, 57, 1, 83, 16, 3, 1, 1, 0.183, 0.109, 0.116
13-12-01, 289, 2492, 12515, 1360, 39, 83, 3, 203, 63, 4, 3, 2, 0.199, 0.116, 0.109
13-12-02, 946, 7089, 29164, 3162, 96, 151, 4, 767, 103, 32, 22, 14, 0.243, 0.133, 0.108
13-12-03, 1305, 8163, 33304, 3434, 100, 193, 11, 412, 112, 23, 17, 19, 0.245, 0.160, 0.103
13-12-04, 1472, 8085, 34887, 2737, 137, 196, 3, 563, 118, 9, 23, 11, 0.232, 0.182, 0.078
13-12-05, 1147, 8169, 35189, 3241, 94, 204, 6, 514, 83, 21, 18, 19, 0.232, 0.140, 0.092
13-12-06, 1027, 5988, 26032, 1948, 87, 107, 2, 626, 45, 8, 22, 8, 0.230, 0.172, 0.075
13-12-07, 78, 988, 5871, 730, 31, 69, 2, 63, 27, 3, 5, 0, 0.168, 0.079, 0.124
13-12-08, 319, 2408, 12530, 1584, 63, 66, 2, 140, 15, 10, 9, 7, 0.192, 0.132, 0.126
13-12-09, 1076, 6325, 27492, 2174, 61, 187, 6, 311, 73, 14, 14, 8, 0.230, 0.170, 0.079
13-12-10, 898, 6057, 26249, 2292, 105, 148, 2, 276, 82, 23, 13, 18, 0.231, 0.148, 0.087
13-12-11, 1169, 6835, 30105, 2010, 60, 139, 7, 528, 68, 8, 4, 11, 0.227, 0.171, 0.067
13-12-12, 1127, 7216, 29687, 1789, 91, 150, 2, 437, 241, 14, 8, 15, 0.243, 0.156, 0.060
13-12-13, 1115, 5259, 22049, 1466, 66, 118, 4, 321, 232, 16, 22, 6, 0.239, 0.212, 0.066
13-12-14, 122, 847, 5346, 487, 26, 35, 0, 47, 18, 2, 8, 2, 0.158, 0.144, 0.091
13-12-15, 276, 2045, 10568, 733, 34, 63, 0, 160, 27, 3, 4, 3, 0.194, 0.135, 0.069
13-12-16, 1102, 6219, 24984, 1738, 66, 115, 1, 274, 230, 12, 51, 12, 0.249, 0.177, 0.070
13-12-17, 800, 5762, 23161, 1730, 100, 167, 4, 331, 130, 24, 32, 23, 0.249, 0.139, 0.075
13-12-18, 674, 4548, 22110, 1461, 63, 110, 4, 258, 160, 31, 8, 8, 0.206, 0.148, 0.066
13-12-19, 651, 4332, 18791, 1074, 71, 97, 5, 174, 25, 7, 18, 3, 0.231, 0.150, 0.057
13-12-20, 330, 2041, 9097, 613, 35, 62, 2, 81, 11, 5, 6, 4, 0.224, 0.162, 0.067
13-12-21, 16, 262, 1641, 218, 10, 29, 0, 50, 15, 0, 2, 0, 0.160, 0.061, 0.133
13-12-22, 37, 285, 1875, 218, 2, 23, 0, 29, 2, 1, 1, 1, 0.152, 0.130, 0.116
13-12-23, 19, 311, 1622, 272, 11, 28, 0, 11, 1, 5, 4, 0, 0.192, 0.061, 0.168
13-12-24, 6, 132, 801, 150, 3, 13, 0, 9, 0, 0, 0, 0, 0.165, 0.045, 0.187
13-12-25, 4, 142, 764, 128, 6, 30, 0, 26, 10, 2, 1, 0, 0.186, 0.028, 0.168
13-12-26, 27, 243, 1532, 291, 14, 30, 0, 74, 7, 10, 1, 3, 0.159, 0.111, 0.190
13-12-27, 35, 281, 1699, 293, 16, 30, 1, 104, 6, 6, 6, 4, 0.165, 0.125, 0.172
13-12-28, 18, 273, 1660, 271, 11, 32, 2, 60, 9, 1, 8, 13, 0.164, 0.066, 0.163
13-12-29, 30, 302, 1811, 177, 12, 45, 0, 40, 15, 2, 3, 2, 0.167, 0.099, 0.098
13-12-30, 64, 462, 2632, 285, 32, 53, 5, 45, 8, 8, 3, 2, 0.176, 0.139, 0.108
13-12-31, 38, 339, 1851, 216, 16, 30, 0, 19, 2, 1, 0, 1, 0.183, 0.112, 0.117
14-01-01, 107, 651, 3043, 327, 14, 33, 1, 36, 12, 2, 1, 0, 0.214, 0.164, 0.107
14-01-02, 279, 1563, 7911, 625, 20, 62, 0, 131, 9, 1, 4, 4, 0.198, 0.179, 0.079
14-01-03, 126, 857, 4237, 500, 19, 23, 0, 147, 19, 2, 7, 2, 0.202, 0.147, 0.118
14-01-04, 90, 626, 3259, 370, 21, 32, 1, 46, 7, 3, 2, 2, 0.192, 0.144, 0.114
14-01-05, 135, 955, 5227, 454, 30, 44, 2, 109, 24, 5, 32, 2, 0.183, 0.141, 0.087
14-01-06, 355, 2822, 12316, 985, 41, 103, 1, 135, 52, 10, 9, 9, 0.229, 0.126, 0.080
14-01-07, 669, 3643, 14888, 1430, 78, 99, 2, 265, 230, 5, 7, 7, 0.245, 0.184, 0.096
14-01-08, 725, 5016, 21433, 2147, 76, 138, 8, 277, 184, 10, 15, 19, 0.234, 0.145, 0.100
14-01-09, 970, 6810, 26660, 2676, 100, 269, 7, 502, 344, 32, 25, 16, 0.255, 0.142, 0.100
14-01-10, 860, 5554, 21563, 1411, 78, 162, 2, 484, 417, 10, 9, 7, 0.258, 0.155, 0.065
14-01-11, 101, 826, 4984, 551, 29, 60, 0, 67, 7, 2, 4, 3, 0.166, 0.122, 0.111
14-01-12, 259, 1965, 10813, 867, 48, 89, 3, 148, 24, 8, 3, 3, 0.182, 0.132, 0.080
14-01-13, 1189, 8155, 31630, 2604, 95, 191, 5, 719, 250, 12, 21, 27, 0.258, 0.146, 0.082
14-01-14, 1130, 8567, 35743, 2422, 112, 258, 4, 475, 351, 16, 16, 16, 0.240, 0.132, 0.068
14-01-15, 1167, 7264, 29905, 2245, 98, 202, 3, 291, 281, 17, 51, 15, 0.243, 0.161, 0.075
14-01-16, 1122, 7646, 28377, 2411, 104, 158, 6, 360, 230, 25, 26, 15, 0.269, 0.147, 0.085
14-01-17, 1149, 6667, 22499, 1511, 96, 124, 1, 223, 74, 18, 19, 16, 0.296, 0.172, 0.067
14-01-18, 92, 781, 4721, 331, 34, 57, 3, 84, 12, 0, 4, 3, 0.165, 0.118, 0.070
14-01-19, 148, 1192, 6847, 546, 44, 78, 1, 167, 18, 2, 1, 6, 0.174, 0.124, 0.080
14-01-20, 454, 2379, 11154, 933, 50, 64, 3, 201, 26, 3, 15, 12, 0.213, 0.191, 0.084
14-01-21, 1053, 6973, 24808, 1833, 108, 148, 4, 400, 100, 16, 25, 51, 0.281, 0.151, 0.074
14-01-22, 849, 6168, 23551, 1788, 71, 125, 9, 277, 71, 17, 13, 12, 0.262, 0.138, 0.076
14-01-23, 887, 6252, 25690, 1621, 102, 169, 8, 265, 60, 12, 35, 9, 0.243, 0.142, 0.063
14-01-24, 888, 5031, 20337, 1100, 111, 108, 3, 231, 37, 15, 28, 7, 0.247, 0.177, 0.054
14-01-25, 128, 906, 5523, 504, 44, 57, 1, 108, 27, 22, 4, 5, 0.164, 0.141, 0.091
14-01-26, 290, 2062, 10453, 948, 45, 118, 0, 177, 44, 5, 7, 10, 0.197, 0.141, 0.091
14-01-27, 954, 5435, 22075, 2014, 97, 147, 0, 372, 46, 26, 28, 10, 0.246, 0.176, 0.091
14-01-28, 990, 5820, 23830, 1771, 73, 151, 9, 307, 154, 17, 25, 7, 0.244, 0.170, 0.074
14-01-29, 1096, 7120, 27276, 2275, 102, 157, 3, 324, 241, 14, 12, 24, 0.261, 0.154, 0.083
14-01-30, 1412, 7933, 30526, 2380, 83, 186, 8, 512, 338, 10, 15, 9, 0.260, 0.178, 0.078
14-01-31, 1121, 5851, 23320, 1607, 88, 136, 7, 288, 274, 20, 13, 26, 0.251, 0.192, 0.069
14-02-01, 114, 1105, 6503, 750, 29, 51, 1, 100, 19, 2, 3, 5, 0.170, 0.103, 0.115
14-02-02, 272, 2184, 11083, 936, 32, 100, 4, 179, 52, 2, 9, 3, 0.197, 0.125, 0.084
14-02-03, 1306, 8143, 30255, 2803, 90, 213, 4, 407, 283, 22, 31, 29, 0.269, 0.160, 0.093
14-02-04, 1984, 9147, 36282, 2861, 109, 171, 7, 514, 327, 25, 35, 26, 0.252, 0.217, 0.079
14-02-05, 1442, 7191, 28229, 2128, 93, 156, 3, 381, 391, 23, 9, 12, 0.255, 0.201, 0.075
14-02-06, 1770, 9833, 36152, 2921, 113, 233, 9, 464, 318, 17, 13, 11, 0.272, 0.180, 0.081
14-02-07, 1610, 8167, 31151, 1869, 99, 147, 3, 463, 249, 27, 27, 29, 0.262, 0.197, 0.060
14-02-08, 164, 1093, 6113, 548, 32, 69, 2, 162, 32, 6, 4, 13, 0.179, 0.150, 0.090
14-02-09, 480, 2674, 13252, 1024, 33, 100, 1, 276, 94, 7, 15, 7, 0.202, 0.180, 0.077
14-02-10, 1678, 10783, 43643, 3244, 118, 287, 4, 685, 259, 37, 46, 24, 0.247, 0.156, 0.074
14-02-11, 1905, 9564, 39394, 2872, 98, 252, 6, 495, 337, 21, 71, 17, 0.243, 0.199, 0.073
14-02-12, 1690, 9033, 35198, 3378, 124, 218, 11, 269, 253, 20, 21, 20, 0.257, 0.187, 0.096
14-02-13, 1442, 7525, 26871, 2556, 160, 189, 5, 424, 142, 77, 34, 14, 0.280, 0.192, 0.095
14-02-14, 1036, 5398, 18240, 1554, 39, 139, 2, 197, 39, 6, 11, 11, 0.296, 0.192, 0.085
14-02-15, 116, 864, 4536, 398, 22, 48, 0, 82, 7, 7, 1, 4, 0.190, 0.134, 0.088
14-02-16, 242, 1569, 8544, 709, 26, 64, 0, 149, 23, 3, 6, 5, 0.184, 0.154, 0.083
14-02-17, 763, 4571, 18714, 1698, 48, 121, 6, 196, 33, 10, 13, 4, 0.244, 0.167, 0.091
14-02-18, 1467, 7476, 32609, 2948, 114, 211, 4, 518, 172, 18, 15, 38, 0.229, 0.196, 0.090
14-02-19, 1478, 8729, 39640, 3294, 119, 214, 14, 459, 165, 11, 22, 30, 0.220, 0.169, 0.083
14-02-20, 1623, 8086, 35757, 3339, 105, 190, 2, 488, 604, 7, 23, 22, 0.226, 0.201, 0.093
14-02-21, 1333, 5993, 26106, 1656, 109, 215, 4, 228, 541, 11, 14, 2993, 0.230, 0.222, 0.063
14-02-22, 166, 1529, 7408, 750, 27, 106, 0, 117, 16, 10, 4, 3, 0.206, 0.109, 0.101
14-02-23, 426, 3296, 16950, 1487, 41, 111, 1, 299, 47, 16, 14, 8, 0.194, 0.129, 0.088
14-02-24, 1534, 9188, 38092, 3068, 129, 172, 5, 798, 121, 21, 14, 21, 0.241, 0.167, 0.081
14-02-25, 1774, 9837, 42992, 3154, 134, 221, 14, 509, 255, 23, 46, 23, 0.229, 0.180, 0.073
14-02-26, 1512, 9586, 39193, 3631, 101, 178, 10, 338, 242, 11, 20, 24, 0.245, 0.158, 0.093
14-02-27, 1778, 8533, 35847, 2980, 116, 235, 1, 473, 262, 12, 14, 13, 0.238, 0.208, 0.083
14-02-28, 1462, 6986, 30212, 2215, 91, 188, 5, 314, 101, 51, 14, 11, 0.231, 0.209, 0.073
14-03-01, 126, 1063, 6404, 706, 37, 90, 2, 126, 22, 7, 2, 2, 0.166, 0.119, 0.110
14-03-02, 477, 2775, 13328, 982, 39, 109, 2, 177, 23, 6, 5, 3, 0.208, 0.172, 0.074
14-03-03, 1139, 6089, 29836, 2601, 118, 151, 4, 752, 63, 10, 7, 15, 0.204, 0.187, 0.087
14-03-04, 1470, 7275, 34233, 3358, 96, 203, 3, 430, 235, 20, 11, 25, 0.213, 0.202, 0.098
14-03-05, 1449, 7644, 36640, 3089, 116, 221, 4, 769, 544, 27, 21, 3034, 0.209, 0.190, 0.084
14-03-06, 1600, 9115, 35930, 3332, 102, 236, 5, 735, 1062, 24, 30, 4336, 0.254, 0.176, 0.093
14-03-07, 1186, 6550, 28387, 2480, 96, 215, 8, 429, 637, 23, 18, 4141, 0.231, 0.181, 0.087
14-03-08, 124, 1026, 5882, 676, 42, 53, 3, 81, 19, 6, 3, 3, 0.174, 0.121, 0.115
14-03-09, 349, 2243, 11862, 1069, 59, 76, 2, 239, 41, 14, 13, 8, 0.189, 0.156, 0.090
14-03-10, 1279, 7457, 32923, 2870, 105, 141, 8, 486, 187, 21, 12, 12, 0.226, 0.172, 0.087
14-03-11, 1559, 8627, 34647, 2938, 93, 175, 4, 367, 110, 19, 17, 19, 0.249, 0.181, 0.085
14-03-12, 1434, 8222, 35214, 2904, 141, 198, 2, 363, 333, 22, 19, 25, 0.233, 0.174, 0.082
