Date, Expand_Button_Click(E), Research_Topic_Show(R), Search_Count(S), Advance_Search_Count(A), Core_Correalation_Click, Exit_Button_Click, Educator_Tool_Click, My_List_Click, Bookcarts_Click, Slideshows_Click, Timelines_Click, Quizzes_Click, R/S, E/R, A/S
2013-03-01, 1013, 6883, 29539, 2180, 78, 164, 5, 377, 130, 24, 12, 20, 0.233, 0.147, 0.074
2013-03-02, 197, 1572, 9912, 646, 47, 121, 3, 274, 60, 23, 6, 5, 0.159, 0.125, 0.065
2013-03-03, 603, 3389, 17962, 1486, 69, 130, 2, 307, 39, 17, 25, 11, 0.189, 0.178, 0.083
2013-03-04, 1495, 8805, 38110, 2607, 115, 252, 9, 705, 221, 63, 67, 24, 0.231, 0.170, 0.068
2013-03-05, 1713, 9939, 39906, 2600, 125, 252, 8, 1033, 120, 25, 38, 34, 0.249, 0.172, 0.065
2013-03-06, 1503, 9301, 40588, 2615, 144, 224, 9, 1129, 181, 44, 48, 62, 0.229, 0.162, 0.064
2013-03-07, 2143, 11705, 44147, 2747, 116, 204, 16, 601, 219, 40, 54, 43, 0.265, 0.183, 0.062
2013-03-08, 1244, 7604, 28764, 1501, 127, 157, 6, 473, 171, 31, 29, 21, 0.264, 0.164, 0.052
2013-03-09, 183, 1195, 7709, 513, 48, 97, 1, 261, 27, 7, 8, 10, 0.155, 0.153, 0.067
2013-03-10, 415, 2655, 14184, 849, 49, 107, 3, 207, 29, 9, 6, 9, 0.187, 0.156, 0.060
2013-03-11, 1422, 9371, 36591, 2426, 138, 232, 7, 757, 521, 32, 22, 55, 0.256, 0.152, 0.066
2013-03-12, 1550, 10173, 41523, 2511, 118, 280, 9, 657, 277, 26, 18, 37, 0.245, 0.152, 0.060
2013-03-13, 1436, 9619, 35938, 2307, 130, 268, 3, 634, 569, 44, 48, 31, 0.268, 0.149, 0.064
